# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       6887.28166797        1.235367E+05
       6889.80510547        1.241924E+05
       6892.32854297        1.250629E+05
       6894.85442188        1.259316E+05
       6897.37932422        1.271391E+05
       6899.90471484        1.286032E+05
       6902.43157031        1.299891E+05
       6904.95842578        1.308438E+05
       6907.48576953        1.314678E+05
       6910.01262500        1.320684E+05
       6912.54192188        1.326869E+05
       6915.07024219        1.331300E+05
       6917.59905078        1.335470E+05
       6920.12932422        1.336970E+05
       6922.65959766        1.335286E+05
       6925.18987109        1.333659E+05
       6927.72112109        1.335815E+05
       6930.25285938        1.339224E+05
       6932.78459766        1.341731E+05
       6935.31731250        1.342131E+05
       6937.85051563        1.341745E+05
       6940.38469531        1.342576E+05
       6942.91741016        1.346357E+05
       6945.45256641        1.349558E+05
       6947.98772266        1.353729E+05
       6950.52287891        1.360803E+05
       6953.05901172        1.370142E+05
       6955.59563281        1.384562E+05
       6958.13225391        1.402376E+05
       6960.66985156        1.419268E+05
       6963.20793750        1.431120E+05
       6965.74602344        1.434275E+05
       6968.28459766        1.425532E+05
       6970.82414844        1.407585E+05
       6973.36418750        1.391175E+05
       6975.90471484        1.383591E+05
       6978.44475391        1.383436E+05
       6980.98674609        1.392367E+05
       6983.52825000        1.403397E+05
       6986.07121875        1.407352E+05
       6988.61321094        1.404857E+05
       6991.15666797        1.402605E+05
       6993.70061328        1.401756E+05
       6996.24455859        1.399694E+05
       6998.78996875        1.396975E+05
       7001.33489063        1.397167E+05
       7003.88030078        1.399724E+05
       7006.42619922        1.400660E+05
       7008.97258594        1.399833E+05
       7011.52043750        1.398617E+05
       7014.06731250        1.396999E+05
       7016.61516406        1.395516E+05
       7019.16399219        1.399432E+05
       7021.71282031        1.407306E+05
       7024.26360156        1.413284E+05
       7026.81242969        1.422064E+05
       7029.36321094        1.432928E+05
       7031.91399219        1.442163E+05
       7034.46575000        1.450672E+05
       7037.01799609        1.460969E+05
       7039.57024219        1.475809E+05
       7042.12297656        1.487911E+05
       7044.67668750        1.480085E+05
       7047.23039844        1.454945E+05
       7049.78459766        1.424107E+05
       7052.33879688        1.393123E+05
       7054.89494922        1.373645E+05
       7057.45110156        1.362313E+05
       7060.00627734        1.354662E+05
       7062.56340625        1.352543E+05
       7065.12053516        1.359736E+05
       7067.67815234        1.376669E+05
       7070.23723438        1.401509E+05
       7072.79533984        1.418153E+05
       7075.35442188        1.419187E+05
       7077.91448047        1.401462E+05
       7080.47502734        1.372954E+05
       7083.03508594        1.341688E+05
       7085.59660938        1.316556E+05
       7088.15764453        1.308139E+05
       7090.72014453        1.310285E+05
       7093.28313281        1.315918E+05
       7095.84612109        1.320215E+05
       7098.40910938        1.323742E+05
       7100.97356250        1.325417E+05
